"Name","SamAccountName","Enabled","DistinguishedName"
"Administrator","Administrator","True","CN=Administrator,CN=Users,DC=corp,DC=lab"
"Guest","Guest","False","CN=Guest,CN=Users,DC=corp,DC=lab"
"vboxuser","vboxuser","True","CN=vboxuser,CN=Users,DC=corp,DC=lab"
"krbtgt","krbtgt","False","CN=krbtgt,CN=Users,DC=corp,DC=lab"
"MONTY_ROBLES","MONTY_ROBLES","True","CN=MONTY_ROBLES,OU=T0-Devices,OU=Tier 0,OU=Admin,DC=corp,DC=lab"
"EVANGELINE_CHAMBERS","EVANGELINE_CHAMBERS","True","CN=EVANGELINE_CHAMBERS,OU=ServiceAccounts,OU=ITS,OU=Tier 1,DC=corp,DC=lab"
"THELMA_WILLIAMS","THELMA_WILLIAMS","True","CN=THELMA_WILLIAMS,OU=ServiceAccounts,OU=ESM,OU=Tier 2,DC=corp,DC=lab"
"RICO_BURNS","RICO_BURNS","True","CN=RICO_BURNS,OU=Test,OU=HRE,OU=Tier 2,DC=corp,DC=lab"
"PAT_ONEILL","PAT_ONEILL","True","CN=PAT_ONEILL,OU=ServiceAccounts,OU=ESM,OU=Tier 1,DC=corp,DC=lab"
"MERLE_ARMSTRONG","MERLE_ARMSTRONG","True","CN=MERLE_ARMSTRONG,OU=Test,OU=AZR,OU=Tier 2,DC=corp,DC=lab"
"EMILIA_HAYNES","EMILIA_HAYNES","True","CN=EMILIA_HAYNES,OU=ServiceAccounts,OU=FIN,OU=Stage,DC=corp,DC=lab"
"7884024966SA","7884024966SA","True","CN=7884024966SA,OU=Groups,OU=AWS,OU=Tier 1,DC=corp,DC=lab"
"MATHEW_FIGUEROA","MATHEW_FIGUEROA","True","CN=MATHEW_FIGUEROA,OU=Devices,OU=AWS,OU=Tier 2,DC=corp,DC=lab"
"REID_TAYLOR","REID_TAYLOR","True","CN=REID_TAYLOR,OU=Devices,OU=FSR,OU=Stage,DC=corp,DC=lab"
"ADA_KIRK","ADA_KIRK","True","CN=ADA_KIRK,OU=SEC,OU=Tier 2,DC=corp,DC=lab"
"GENA_DELANEY","GENA_DELANEY","True","CN=GENA_DELANEY,OU=Test,OU=FSR,OU=Tier 2,DC=corp,DC=lab"
"WILFREDO_RICE","WILFREDO_RICE","True","CN=WILFREDO_RICE,OU=T1-Devices,OU=Tier 1,OU=Admin,DC=corp,DC=lab"
"EDWINA_HENSON","EDWINA_HENSON","True","CN=EDWINA_HENSON,OU=Test,OU=ITS,OU=Tier 1,DC=corp,DC=lab"
"BERNIE_WYNN","BERNIE_WYNN","True","CN=BERNIE_WYNN,OU=HRE,OU=Tier 1,DC=corp,DC=lab"
"MARION_LAWRENCE","MARION_LAWRENCE","True","CN=MARION_LAWRENCE,OU=ServiceAccounts,OU=BDE,OU=Tier 1,DC=corp,DC=lab"
"MILTON_RIDDLE","MILTON_RIDDLE","True","CN=MILTON_RIDDLE,OU=ServiceAccounts,OU=FIN,OU=Tier 1,DC=corp,DC=lab"
"LETITIA_FERRELL","LETITIA_FERRELL","True","CN=LETITIA_FERRELL,OU=T0-Servers,OU=Tier 0,OU=Admin,DC=corp,DC=lab"
"SHIRLEY_COOPER","SHIRLEY_COOPER","True","CN=SHIRLEY_COOPER,OU=Groups,OU=ITS,OU=Tier 1,DC=corp,DC=lab"
"ODELL_CHERRY","ODELL_CHERRY","True","CN=ODELL_CHERRY,OU=Groups,OU=HRE,OU=Tier 2,DC=corp,DC=lab"
"MAURO_JOSEPH","MAURO_JOSEPH","True","CN=MAURO_JOSEPH,OU=Devices,OU=AZR,OU=Tier 1,DC=corp,DC=lab"
"GWEN_KEITH","GWEN_KEITH","True","CN=GWEN_KEITH,OU=T0-Accounts,OU=Tier 0,OU=Admin,DC=corp,DC=lab"
"ISAIAH_BLEVINS","ISAIAH_BLEVINS","True","CN=ISAIAH_BLEVINS,OU=T1-Devices,OU=Tier 1,OU=Admin,DC=corp,DC=lab"
"PAULINE_HARRISON","PAULINE_HARRISON","True","CN=PAULINE_HARRISON,OU=Groups,OU=OGC,OU=Tier 1,DC=corp,DC=lab"
"NELSON_GUY","NELSON_GUY","True","CN=NELSON_GUY,OU=Groups,OU=AWS,OU=Tier 2,DC=corp,DC=lab"
"SONJA_FITZPATRICK","SONJA_FITZPATRICK","True","CN=SONJA_FITZPATRICK,OU=Devices,OU=OGC,OU=Stage,DC=corp,DC=lab"
"SARA_HOLMAN","SARA_HOLMAN","True","CN=SARA_HOLMAN,OU=Groups,OU=BDE,OU=Tier 2,DC=corp,DC=lab"
"STUART_HOPPER","STUART_HOPPER","True","CN=STUART_HOPPER,OU=Groups,OU=OGC,OU=Tier 2,DC=corp,DC=lab"
"DELMER_HUFFMAN","DELMER_HUFFMAN","True","CN=DELMER_HUFFMAN,OU=T2-Accounts,OU=Tier 2,OU=Admin,DC=corp,DC=lab"
"DICK_MATHIS","DICK_MATHIS","True","CN=DICK_MATHIS,OU=Deprovisioned,OU=People,DC=corp,DC=lab"
"KATHERYN_GARDNER","KATHERYN_GARDNER","True","CN=KATHERYN_GARDNER,OU=Groups,OU=BDE,OU=Stage,DC=corp,DC=lab"
"ANTON_ESTRADA","ANTON_ESTRADA","True","CN=ANTON_ESTRADA,OU=Devices,OU=SEC,OU=Stage,DC=corp,DC=lab"
"ERIN_SANDOVAL","ERIN_SANDOVAL","True","CN=ERIN_SANDOVAL,OU=Groups,OU=FIN,OU=Stage,DC=corp,DC=lab"
"FREIDA_DILLARD","FREIDA_DILLARD","True","CN=FREIDA_DILLARD,OU=Test,OU=OGC,OU=Tier 1,DC=corp,DC=lab"
"JOANN_FLOYD","JOANN_FLOYD","True","CN=JOANN_FLOYD,OU=Test,OU=AZR,OU=Tier 1,DC=corp,DC=lab"
"SHANNA_BRADLEY","SHANNA_BRADLEY","True","CN=SHANNA_BRADLEY,OU=Devices,OU=AWS,OU=Tier 1,DC=corp,DC=lab"
"THERESA_DEJESUS","THERESA_DEJESUS","True","CN=THERESA_DEJESUS,OU=AZR,OU=People,DC=corp,DC=lab"
"KRISTIN_FISCHER","KRISTIN_FISCHER","True","CN=KRISTIN_FISCHER,OU=GOO,OU=Tier 1,DC=corp,DC=lab"
"SEAN_THORNTON","SEAN_THORNTON","True","CN=SEAN_THORNTON,OU=Test,OU=ESM,OU=Stage,DC=corp,DC=lab"
"ISABEL_PITTMAN","ISABEL_PITTMAN","True","CN=ISABEL_PITTMAN,OU=Test,OU=ITS,OU=Stage,DC=corp,DC=lab"
"GILBERTO_RICHARD","GILBERTO_RICHARD","True","CN=GILBERTO_RICHARD,OU=ServiceAccounts,OU=ESM,OU=Tier 1,DC=corp,DC=lab"
"VERNA_HOPKINS","VERNA_HOPKINS","True","CN=VERNA_HOPKINS,OU=Groups,OU=ESM,OU=Stage,DC=corp,DC=lab"
"PAULINE_MATHIS","PAULINE_MATHIS","True","CN=PAULINE_MATHIS,OU=Test,OU=AZR,OU=Stage,DC=corp,DC=lab"
"NORBERTO_DEAN","NORBERTO_DEAN","True","CN=NORBERTO_DEAN,OU=Test,OU=FSR,OU=Tier 1,DC=corp,DC=lab"
"WILLA_MOSES","WILLA_MOSES","True","CN=WILLA_MOSES,OU=Devices,OU=AZR,OU=Tier 1,DC=corp,DC=lab"
"AMBER_MCCRAY","AMBER_MCCRAY","True","CN=AMBER_MCCRAY,OU=OGC,OU=Stage,DC=corp,DC=lab"
"ALEX_PITTMAN","ALEX_PITTMAN","True","CN=ALEX_PITTMAN,OU=Test,OU=OGC,OU=Stage,DC=corp,DC=lab"
"DAVIS_JORDAN","DAVIS_JORDAN","True","CN=DAVIS_JORDAN,OU=ServiceAccounts,DC=corp,DC=lab"
